Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Indoor Cycling,2024-06-13 17:41:15,false,"Indoor Cycling","0,00","154","00:22:43","132","148","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:22:43","1","00:00:00","00:22:43","--","--"
Indoor Cycling,2024-04-10 16:57:17,false,"Indoor Cycling","0,00","142","00:26:31","122","160","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:26:31","1","00:00:00","00:26:31","--","--"
Indoor Cycling,2024-03-27 17:29:08,false,"Indoor Cycling","0,00","253","00:29:06","152","176","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:29:06","1","00:00:00","00:29:06","--","--"
Indoor Cycling,2024-03-20 16:48:50,false,"Indoor Cycling","0,00","78","00:15:25","116","147","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:15:25","1","00:00:00","00:15:25","--","--"
Indoor Cycling,2024-02-28 17:00:35,false,"Indoor Cycling","0,00","197","00:31:35","132","167","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:31:35","1","00:00:00","00:31:35","--","--"
Indoor Cycling,2024-02-21 16:11:51,false,"Indoor Cycling","0,00","251","00:43:06","131","167","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:43:06","1","00:00:00","00:43:06","--","--"
Indoor Cycling,2024-01-20 17:37:38,false,"Indoor Cycling","0,00","159","00:33:04","122","149","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:04","1","00:00:00","00:33:04","--","--"
Indoor Cycling,2023-11-09 17:03:07,false,"Indoor Cycling","0,00","145","00:30:31","121","141","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:31","1","00:00:00","00:30:31","--","--"
Radfahren,2022-08-04 11:05:45,false,"Taufkirchen (Vils) Radfahren","46,65","1.438","02:29:19","171","204","--","18,7","39,9","253","210","--","--","--","0,0","--","--","--","Nein","00:05:50,3","10","02:28:13","03:02:57","401","457"
Radfahren,2022-08-02 15:02:44,false,"Finsing Radfahren","44,53","1.065","02:38:10","144","191","--","16,9","38,2","211","249","--","--","--","0,0","--","--","--","Nein","00:15:26","9","02:36:01","03:17:15","461","515"
Radfahren,2022-07-13 10:59:38,false,"Berlin Radfahren","14,75","434","01:06:40","133","180","--","13,3","20,1","34","22","--","--","--","0,0","--","--","--","Nein","00:05:50,6","4","01:05:30","03:08:00","-25","1"
Radfahren,2021-08-14 11:48:19,false,"Buch am Erlbach Radfahren","38,05","808","02:13:25","146","179","--","17,1","30,9","120","20","--","--","--","0,0","--","--","--","Nein","00:15:00","8","02:12:36","02:57:14","411","513"
Radfahren,2021-08-12 14:13:20,false,"Pliening Radfahren","40,06","647","02:21:00","135","182","--","17,0","28,2","27","105","--","--","--","0,0","--","--","--","Nein","00:00:26,9","9","02:19:25","02:46:58","414","502"
Virtuelles Radfahren,2021-08-07 18:55:00,false,"Zwift - Back to Fitness - It's all about the Foundation","15,07","246","00:39:10","169","193","--","23,1","81,1","270","--","81","103","117","0,0","126","110","166","Nein","00:00:11","33","00:39:05","00:39:09","97","183"
Virtuelles Radfahren,2021-08-05 17:48:56,false,"Zwift - Back to Fitness - Over Under's 4x 4min","18,52","241","00:39:41","175","199","--","28,0","60,4","121","--","79","96","118","0,0","116","106","166","Nein","00:00:12","48","00:39:36","00:39:40","125","200"
