Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Training Stress Score®,Schritte,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2025-08-13 18:36:30,false,"Poing Laufen","1,90","109","00:11:36","168","180","164","172","6:05","5:47","--","7","1,00","0,0","1.896","Nein","00:05:37,4","2","00:11:36","00:11:36","504","513"
Laufen,2025-08-07 12:41:14,false,"Pliening Laufen","5,48","306","00:42:13","151","168","153","160","7:42","6:52","4","27","0,85","0,0","6.438","Nein","00:03:40,5","6","00:42:06","00:42:13","479","503"
Laufbandtraining,2025-08-05 18:36:21,false,"Laufbandtraining","3,24","150","00:30:28","124","140","151","160","9:24","8:45","--","--","0,71","0,0","4.598","Nein","00:02:13,7","4","00:29:45","00:30:28","--","--"
Laufbandtraining,2025-07-30 17:47:46,false,"Laufbandtraining","2,18","104","00:20:30","124","136","150","156","9:23","8:51","--","--","0,71","0,0","3.060","Nein","00:01:44,8","3","00:20:11","00:21:59","--","--"
Laufen,2025-07-22 17:08:22,false,"Pliening Laufen","10,43","586","01:22:23","157","180","151","167","7:54","6:03","13","13","0,84","0,0","12.400","Nein","00:03:12,4","11","01:21:44","01:33:14","493","506"
Laufbandtraining,2025-07-19 17:14:17,false,"Laufbandtraining","3,81","204","00:35:27","132","145","147","155","9:18","8:26","--","--","0,73","0,0","5.188","Nein","00:07:40,7","4","00:35:06","00:35:27","--","--"
Laufen,2025-07-13 10:00:10,false,"Unterhaching Laufen","5,40","300","00:30:44","180","200","166","205","5:42","3:04","15","15","1,06","0,0","5.086","Nein","00:01:58,6","6","00:30:41","00:30:44","544","555"
Laufbandtraining,2025-07-11 17:45:50,false,"Laufbandtraining","4,41","223","00:41:34","129","139","149","156","9:25","8:30","--","--","0,71","0,0","6.142","Nein","00:03:53,7","5","00:41:33","00:41:34","--","--"
Laufen,2025-07-09 18:09:47,false,"Pliening - Intervall","4,38","240","00:29:42","158","199","156","185","6:47","4:23","2","--","0,93","0,0","4.622","Nein","00:01:21,0","11","00:29:21","00:30:40","503","506"
Laufbandtraining,2025-07-05 12:31:35,false,"Laufbandtraining","6,25","247","01:01:09","118","132","145","151","9:47","9:04","--","--","0,71","0,0","8.870","Nein","00:02:25,4","7","01:00:39","01:03:07","--","--"
Laufen,2025-07-03 07:30:26,false,"Pliening Laufen","3,01","184","00:23:40","157","176","146","167","7:51","5:40","--","2","0,87","0,0","3.472","Nein","00:00:04,7","4","00:22:22","00:24:57","499","504"
Laufen,2025-06-30 19:05:44,false,"Pliening Laufen","4,13","242","00:32:26","159","172","151","165","7:51","6:12","4","4","0,84","0,0","4.892","Nein","00:01:01,6","5","00:32:01","00:32:26","498","504"
Laufbandtraining,2025-06-28 17:50:55,false,"Laufbandtraining","3,43","182","00:36:39","123","139","122","155","10:41","8:16","--","--","0,77","0,0","4.768","Nein","00:08:40,4","4","00:30:06","00:36:39","--","--"
Laufbandtraining,2025-06-22 16:32:05,false,"Laufbandtraining","3,75","235","00:32:39","143","157","148","155","8:43","8:12","--","--","0,78","0,0","4.834","Nein","00:06:33,3","4","00:32:28","00:32:39","--","--"
Laufbandtraining,2025-06-20 07:50:43,false,"Laufbandtraining","1,14","71","00:10:09","138","154","147","160","8:56","8:01","--","--","0,76","0,0","1.484","Nein","00:01:09,4","2","00:10:00","00:10:09","--","--"
Laufen,2025-06-18 19:24:57,false,"Poing Laufen","2,37","138","00:13:03","186","209","163","180","5:30","4:15","--","--","1,12","0,0","2.162","Nein","00:02:26,1","3","00:12:45","00:20:17","509","512"
Laufen,2025-06-18 18:35:08,false,"Poing Laufen","2,63","158","00:15:06","182","205","166","184","5:45","5:10","7","7","1,05","0,0","2.518","Nein","00:03:38,2","3","00:15:05","00:15:06","506","514"
Laufen,2025-06-16 17:13:51,false,"Pliening Laufen","5,34","307","00:37:16","155","181","156","177","6:59","3:04","8","6","0,92","0,0","5.836","Nein","00:01:57,8","6","00:37:09","00:37:16","503","513"
Laufen,2025-06-11 17:08:11,false,"Pliening Laufen","3,84","227","00:29:19","151","172","149","161","7:38","6:34","6","7","0,88","0,0","4.404","Nein","00:05:56,7","4","00:29:11","00:32:19","503","510"
Laufen,2025-06-08 17:46:47,false,"Pliening Laufen","0,65","26","00:04:35,8","125","149","141","178","7:07","5:14","2","--","0,99","0,0","688","Nein","00:04:35,8","1","00:04:18","00:06:42,6","503","506"
Laufen,2025-06-05 21:04:04,false,"Poing Laufen","3,19","187","00:21:45","155","171","159","167","6:49","6:10","--","6","0,92","0,0","3.448","Nein","00:01:18,5","4","00:21:39","00:29:40","504","513"
Laufen,2025-06-05 20:11:29,false,"Pliening Laufen","3,41","195","00:24:49","148","165","156","169","7:17","5:51","13","--","0,88","0,0","3.886","Nein","00:03:04,5","4","00:24:40","00:27:31","503","516"
Laufen,2025-06-02 18:55:23,false,"Poing Laufen","1,40","90","00:09:04,6","171","183","163","172","6:30","5:55","5","4","0,94","0,0","1.482","Nein","00:02:40,5","2","00:09:04","00:09:04,6","511","516"
Laufen,2025-06-02 18:39:04,false,"Poing Laufen","1,26","99","00:12:32","147","168","112","169","9:55","6:26","4","7","0,88","0,0","1.410","Nein","00:05:43,0","2","00:08:27","00:12:32","507","512"
Laufbandtraining,2025-05-31 17:31:33,false,"Laufbandtraining","1,04","68","00:11:28","126","135","148","161","11:01","8:45","--","--","0,61","0,0","1.700","Nein","00:00:40,3","2","00:10:59","00:11:28","--","--"
Laufen,2025-05-26 19:22:27,false,"Poing Laufen","3,62","218","00:22:50","171","201","150","218","6:19","0:41","11","13","1,06","0,0","3.552","Nein","00:03:52,0","4","00:22:49","00:27:38","505","512"
Laufen,2025-05-26 18:38:37,false,"Poing Laufen","2,71","158","00:17:32","156","175","165","178","6:29","5:15","4","9","0,94","0,0","2.892","Nein","00:04:45,2","3","00:17:31","00:17:32","506","513"
Laufen,2025-05-21 19:34:43,false,"Poing Laufen","4,17","267","00:28:30","170","208","141","193","6:50","3:30","11","11","1,04","0,0","4.216","Nein","00:01:35,5","5","00:26:16","00:30:02","510","514"
Laufen,2025-05-21 18:38:54,false,"Poing Laufen","2,76","173","00:16:10","182","197","163","182","5:52","4:24","7","13","1,04","0,0","2.680","Nein","00:05:17,1","3","00:16:09","00:16:10","504","513"
Laufbandtraining,2025-05-17 16:34:48,false,"Laufbandtraining","0,67","46","00:07:15,4","127","138","147","161","10:50","9:01","--","--","0,63","0,0","1.094","Nein","00:07:15,4","1","00:06:37","00:07:15,4","--","--"
Laufen,2025-05-07 19:27:42,false,"Anzing Laufen","3,73","254","00:25:42","174","201","146","199","6:54","3:33","7","2","1,00","0,0","3.866","Nein","00:05:36,9","4","00:23:38","00:31:24","526","532"
Laufen,2025-05-07 18:37:00,false,"Anzing Laufen","2,83","175","00:17:20","173","186","160","176","6:08","4:55","8","9","1,02","0,0","2.792","Nein","00:05:24,8","3","00:17:19","00:17:20","518","529"
Laufen,2025-05-02 16:18:22,false,"Pliening Laufen","2,86","173","00:23:46","148","169","147","163","8:19","6:44","4","4","0,82","0,0","3.522","Nein","00:06:59,1","3","00:23:09","00:23:46","498","504"
Laufen,2025-04-29 17:28:12,false,"Pliening Laufen","6,01","381","00:43:46","161","197","150","201","7:17","3:05","10","6","0,92","0,0","6.632","Nein","00:00:08,1","7","00:42:35","00:48:23","496","507"
Laufen,2025-04-27 16:09:18,false,"Pliening Laufen","5,58","333","00:47:14","151","173","149","163","8:28","6:54","11","10","0,79","0,0","7.020","Nein","00:06:22,8","6","00:46:23","00:49:30","495","504"
Laufbandtraining,2025-04-24 17:16:44,false,"Laufbandtraining","0,37","29","00:05:19,5","117","134","105","157","14:19","9:21","--","--","0,67","0,0","552","Nein","00:05:19,5","1","00:03:36","00:05:19,5","--","--"
Laufbandtraining,2025-04-22 17:36:58,false,"Laufbandtraining","3,60","264","00:34:54","141","157","152","157","9:41","9:21","--","--","0,68","0,0","5.268","Nein","00:05:50,0","4","00:34:46","00:34:54","--","--"
Laufbandtraining,2025-04-20 17:28:58,false,"Laufbandtraining","2,11","163","00:20:59","141","156","149","156","9:57","9:27","--","--","0,68","0,0","3.110","Nein","00:01:05,6","3","00:20:54","00:20:59","--","--"
Laufbandtraining,2025-04-18 17:41:21,false,"Laufbandtraining","2,13","142","00:20:49","133","144","150","155","9:46","9:24","--","--","0,68","0,0","3.114","Nein","00:01:18,6","3","00:20:47","00:20:49","--","--"
Laufbandtraining,2025-04-10 17:41:37,false,"Laufbandtraining","2,16","158","00:21:17","138","153","149","156","9:52","9:10","--","--","0,68","0,0","3.166","Nein","00:01:35,9","3","00:21:03","00:21:17","--","--"
Laufbandtraining,2025-04-07 16:35:38,false,"Laufbandtraining","1,19","95","00:17:49","118","150","101","157","14:57","9:12","--","--","0,66","0,0","2.084","Nein","00:01:51,8","2","00:11:38","00:17:49","--","--"
