Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Training Stress Score®,Schritte,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufbandtraining,2024-03-09 18:30:16,false,"Laufbandtraining","1,47","62","00:10:47","122","134","147","156","7:20","6:30","--","--","0,93","0,0","1.602","Nein","00:03:15,5","2","00:10:35","00:10:47","--","--"
Laufbandtraining,2024-02-29 19:19:26,false,"Laufbandtraining","0,69","31","00:05:04,6","126","134","141","157","7:20","6:21","--","--","0,97","0,0","746","Nein","00:05:04,6","1","00:04:38","00:05:04,6","--","--"
Laufbandtraining,2024-02-26 17:42:37,false,"Laufbandtraining","2,80","127","00:20:11","132","142","148","155","7:13","6:35","--","--","0,94","0,0","2.970","Nein","00:05:41,9","3","00:20:04","00:20:11","--","--"
Laufbandtraining,2024-02-22 17:43:01,false,"Laufbandtraining","1,24","63","00:08:08,9","143","154","158","176","6:33","5:31","--","--","0,96","0,0","1.294","Nein","00:01:33,9","2","00:07:56,9","00:08:08,9","--","--"
Laufbandtraining,2024-02-20 18:33:43,false,"Laufbandtraining","3,61","225","00:23:16","167","181","160","167","6:27","5:44","--","--","0,97","0,0","3.730","Nein","00:03:53,4","4","00:22:58","00:23:16","--","--"
Laufbandtraining,2024-02-19 16:57:44,false,"Laufbandtraining","1,42","63","00:10:09","129","139","150","157","7:08","6:24","--","--","0,93","0,0","1.516","Nein","00:02:57,1","2","00:10:08","00:10:09","--","--"
Laufbandtraining,2024-02-15 17:32:33,false,"Laufbandtraining","1,09","50","00:10:13","117","133","114","155","9:24","6:21","--","--","0,93","0,0","1.310","Nein","00:00:41,9","2","00:07:54","00:10:13","--","--"
Laufbandtraining,2024-01-25 17:16:36,false,"Einstufungslauf","1,25","57","00:09:00","131","140","148","157","7:10","6:31","--","--","0,94","0,0","1.330","Nein","00:02:00","3","00:08:59","00:09:00","--","--"
Laufbandtraining,2024-01-22 17:32:41,false,"Laufbandtraining","1,52","76","00:10:14","141","156","157","167","6:44","6:01","--","--","0,95","0,0","1.610","Nein","00:03:22,8","2","00:10:14","00:10:14","--","--"
Laufbandtraining,2024-01-15 17:36:04,false,"Laufbandtraining","1,81","81","00:10:12","147","181","169","199","5:38","4:15","--","--","1,04","0,0","1.748","Nein","00:03:53,9","2","00:09:53,9","00:10:12","--","--"
Laufbandtraining,2024-01-11 17:25:03,false,"Laufbandtraining","1,63","78","00:10:16","144","179","162","196","6:19","4:16","--","--","0,97","0,0","1.674","Nein","00:03:22,7","2","00:10:15","00:10:16","--","--"
Laufbandtraining,2024-01-08 17:32:25,false,"Laufbandtraining","1,89","86","00:10:14","154","195","174","194","5:26","4:25","--","--","1,06","0,0","1.810","Nein","00:04:22,7","2","00:10:02","00:10:14","--","--"
Laufbandtraining,2024-01-04 17:49:23,false,"Laufbandtraining","1,98","93","00:10:26","160","201","176","194","5:15","4:19","--","--","1,08","0,0","1.838","Nein","00:04:34,3","2","00:10:25","00:10:26","--","--"
Laufen,2023-12-29 16:19:18,false,"Pliening Laufen","2,91","141","00:18:41","144","161","159","208","6:24","3:15","7","2","0,98","0,0","3.002","Nein","00:05:33,7","3","00:17:47","00:18:58","503","509"
Laufbandtraining,2023-12-27 17:49:47,false,"Laufbandtraining","2,13","113","00:13:32","155","188","162","192","6:21","4:15","--","--","0,96","0,0","2.238","Nein","00:00:36,7","3","00:13:14","00:13:32","--","--"
Laufbandtraining,2023-12-25 17:12:24,false,"Laufbandtraining","1,86","86","00:10:13","156","180","176","196","5:29","4:19","--","--","1,04","0,0","1.806","Nein","00:04:25,3","2","00:10:00","00:10:13","--","--"
Laufbandtraining,2023-12-14 18:14:23,false,"Laufbandtraining","2,03","98","00:10:43","167","197","179","194","5:17","4:10","--","--","1,06","0,0","1.902","Nein","00:00:10,8","3","00:10:38","00:10:43","--","--"
Laufen,2023-11-21 09:04:18,false,"Pliening Laufen","2,91","149","00:20:13","141","155","158","184","6:58","5:11","4","--","0,91","0,0","3.230","Nein","00:06:17,2","3","00:19:33","00:20:13","503","508"
Laufen,2023-10-03 12:15:03,false,"Anzing Laufen","5,10","346","00:29:54","199","215","160","212","5:52","2:19","10","8","1,09","0,0","4.898","Nein","00:01:37,0","6","00:28:26","00:29:54","530","542"
Laufen,2023-09-30 17:07:23,false,"Pliening Laufen","4,01","224","00:22:00","181","202","170","183","5:29","4:55","2","2","1,08","0,0","3.758","Nein","00:00:03,7","5","00:21:51","00:22:06","501","504"
Laufen,2023-09-16 17:33:39,false,"Pliening Laufen","3,29","199","00:23:52","159","182","150","200","7:15","5:22","2","--","0,91","0,0","3.552","Nein","00:01:00,4","7","00:23:51","00:24:17","502","506"
Laufen,2023-09-14 17:30:12,false,"Pliening Laufen","3,83","228","00:22:50","179","208","154","192","5:57","3:27","8","7","1,08","0,0","3.648","Nein","00:00:54,9","7","00:22:25","00:23:16","503","513"
Laufen,2023-08-10 17:42:55,false,"Pliening Laufen","3,40","192","00:23:58","154","194","151","176","7:03","4:53","2","2","0,94","0,0","3.640","Nein","00:02:15,7","4","00:22:59","00:25:34","501","505"
Laufen,2023-07-31 19:03:48,false,"München Laufen","6,01","360","00:37:27","178","209","164","196","6:14","3:45","10","6","0,98","0,0","6.140","Nein","00:00:04,2","7","00:37:19","00:37:27","535","546"
Laufen,2023-07-27 17:28:38,false,"Pliening Laufen","4,12","224","00:32:35","148","164","152","161","7:55","6:13","4","2","0,83","0,0","4.928","Nein","00:00:52,9","5","00:32:34","00:32:35","503","509"
Laufen,2023-07-24 18:39:24,false,"Pliening Laufen","4,42","242","00:37:31","147","165","153","163","8:29","7:25","13","6","0,77","0,0","5.718","Nein","00:03:34,7","5","00:37:22","00:37:40","501","512"
Laufen,2023-07-17 17:02:33,false,"Pliening Laufen","6,02","394","00:36:44","181","208","167","190","6:06","4:44","2","6","0,98","0,0","6.128","Nein","00:00:06,0","7","00:36:42","00:36:44","495","504"
Laufen,2023-07-10 19:02:41,false,"München Laufen","6,03","402","00:39:16","177","208","164","215","6:31","2:38","8","9","0,94","0,0","6.414","Nein","00:00:09,5","7","00:39:15","00:39:16","534","545"
Laufen,2023-07-03 19:05:28,false,"München Laufen","6,14","393","00:37:12","177","200","163","199","6:04","3:22","8","8","1,01","0,0","6.086","Nein","00:00:43,0","7","00:37:11","00:37:12","529","539"
Laufen,2023-06-26 19:04:18,false,"München Laufen","4,96","334","00:29:21","183","204","163","200","5:55","3:50","8","7","1,04","0,0","4.816","Nein","00:05:32,8","5","00:29:08","00:29:22","535","544"
Laufen,2023-06-19 19:03:54,false,"München Laufen","4,94","361","00:30:59","184","211","154","219","6:17","2:35","9","6","1,04","0,0","4.848","Nein","00:04:52,6","5","00:29:06","00:30:59","535","544"
Laufen,2023-06-12 19:20:17,false,"München Laufen","3,26","210","00:21:39","160","190","161","176","6:39","4:44","4","16","0,93","0,0","3.472","Nein","00:01:22,2","4","00:21:38","00:21:39","524","529"
Laufen,2023-05-21 17:11:32,false,"Pliening Laufen","4,20","303","00:33:53","156","172","152","170","8:04","2:31","4","6","0,82","0,0","5.144","Nein","00:01:34,0","5","00:33:43","00:34:15","496","503"
Laufen,2023-05-07 16:56:05,false,"Pliening Laufen","4,37","280","00:34:20","153","170","150","166","7:52","6:07","4","4","0,85","0,0","5.182","Nein","00:03:26,9","5","00:33:44","00:34:20","499","504"
Laufen,2023-04-05 16:39:30,false,"Pliening Laufen","3,20","205","00:23:23","153","168","158","170","7:18","0:58","6","2","0,87","0,0","3.700","Nein","00:01:29,4","4","00:23:02","00:24:12","499","507"
Laufbandtraining,2023-03-27 18:43:21,false,"Laufbandtraining","1,17","82","00:09:54,8","138","158","145","158","8:30","7:32","--","--","0,81","0,0","1.460","Nein","00:01:33,4","2","00:09:31","00:09:54,8","--","--"
Laufbandtraining,2022-12-22 17:53:54,false,"Laufbandtraining","3,50","274","00:30:24","148","163","143","149","8:41","7:44","--","--","0,81","0,0","4.332","Nein","00:04:14,5","4","00:30:23","00:30:24","--","--"
Laufbandtraining,2022-12-08 18:20:29,false,"Laufbandtraining","1,18","77","00:10:11","131","147","146","153","8:36","7:56","--","--","0,80","0,0","1.486","Nein","00:01:32,3","2","00:10:11","00:10:11","--","--"
Laufbandtraining,2022-12-05 18:07:46,false,"Laufbandtraining","1,82","101","00:15:36","123","136","145","155","8:34","7:44","--","--","0,81","0,0","2.290","Nein","00:06:54,5","2","00:15:06","00:15:36","--","--"
Laufen,2022-09-13 17:43:28,false,"Pliening Laufen","2,99","196","00:25:44","147","174","143","219","8:37","1:47","4","2","0,81","0,0","3.742","Nein","00:01:04,6","8","00:25:42","00:25:44","497","507"
Laufbandtraining,2022-04-19 10:58:31,false,"Laufbandtraining","2,39","166","00:22:42","134","146","133","153","9:30","7:56","--","--","0,79","0,0","3.160","Nein","00:04:59,9","3","00:20:27","00:24:26","--","--"
Laufbandtraining,2022-04-02 17:40:36,false,"Laufbandtraining","6,61","326","00:54:04","128","138","146","155","8:11","7:34","--","--","0,84","0,0","7.900","Nein","00:04:59,6","7","00:53:50","00:54:04","--","--"
Laufen,2022-03-19 17:24:09,false,"Pliening Laufen","7,04","412","00:54:45","151","168","158","210","7:47","2:53","8","8","0,81","0,0","8.630","Nein","00:00:22,8","8","00:54:29","00:58:44","496","504"
Laufbandtraining,2022-03-17 18:08:07,false,"Laufbandtraining","2,54","171","00:21:49","137","152","142","151","8:35","7:44","--","--","0,82","0,0","3.128","Nein","00:04:44,2","3","00:21:28","00:21:49","--","--"
Laufbandtraining,2022-03-15 19:17:28,false,"Laufbandtraining","2,48","185","00:21:39","144","162","140","152","8:44","7:50","--","--","0,82","0,0","3.082","Nein","00:04:33,1","3","00:20:54","00:21:39","--","--"
Laufbandtraining,2022-03-01 18:12:59,false,"Laufbandtraining","3,00","188","00:23:55","145","178","152","174","7:58","6:10","--","--","0,83","0,0","3.602","Nein","00:07:53,7","3","00:23:35","00:23:55","--","--"
Laufbandtraining,2022-02-22 18:06:16,false,"Laufbandtraining","5,08","267","00:43:08","135","152","144","155","8:29","7:30","--","--","0,82","0,0","6.256","Nein","00:01:06,2","6","00:42:24","00:43:08","--","--"
Laufbandtraining,2022-02-20 18:07:04,false,"Laufbandtraining","2,52","158","00:20:44","145","159","148","155","8:14","7:36","--","--","0,82","0,0","3.060","Nein","00:04:27,1","3","00:20:30","00:20:44","--","--"
Laufbandtraining,2022-02-17 17:46:24,false,"Laufbandtraining","5,08","283","00:42:31","140","155","146","156","8:23","7:27","--","--","0,82","0,0","6.184","Nein","00:00:52,9","6","00:41:56","00:42:31","--","--"
Laufbandtraining,2022-02-08 17:52:51,false,"Laufbandtraining","5,32","313","00:43:53","144","158","147","155","8:15","7:30","--","--","0,83","0,0","6.456","Nein","00:02:50,2","6","00:43:23","00:43:53","--","--"
Laufbandtraining,2022-01-29 18:29:32,false,"Laufbandtraining","3,92","248","00:32:39","148","159","147","156","8:19","7:40","--","--","0,82","0,0","4.806","Nein","00:07:56,6","4","00:32:02","00:32:39","--","--"
Laufen,2022-01-24 07:03:14,false,"Pliening Laufen","10,50","624","01:14:39","166","195","162","219","7:07","2:10","15","15","0,87","0,0","12.152","Nein","00:03:53,0","11","01:14:31","01:14:39","490","504"
Laufbandtraining,2022-01-21 18:04:02,false,"Laufbandtraining","3,86","210","00:30:04","141","159","148","156","7:48","6:41","--","--","0,87","0,0","4.430","Nein","00:06:55,0","4","00:29:47","00:30:04","--","--"
Laufbandtraining,2022-01-18 17:59:31,false,"Laufbandtraining","5,24","295","00:40:45","144","161","149","155","7:47","6:27","--","--","0,86","0,0","6.026","Nein","00:02:04,2","6","00:40:27","00:40:45","--","--"
Laufbandtraining,2022-01-08 20:33:56,false,"Laufbandtraining","5,71","337","00:44:51","148","163","148","157","7:51","6:52","--","--","0,86","0,0","6.644","Nein","00:05:41,8","6","00:44:06","00:44:51","--","--"
Laufen,2022-01-04 12:10:39,false,"Pliening Laufen","4,68","286","00:36:55","162","207","156","224","7:53","2:06","9","4","0,82","0,0","5.770","Nein","00:04:41,7","5","00:36:18","00:36:55","501","511"
Laufen,2022-01-02 12:03:20,false,"Pliening Laufen","6,59","372","00:39:11","176","190","169","178","5:57","5:01","6","2","1,00","0,0","6.628","Nein","00:03:48,4","7","00:39:04","00:39:11","498","506"
Laufen,2021-12-31 12:26:17,false,"Pliening Laufen","5,88","356","00:42:40","168","184","160","170","7:15","5:36","4","2","0,86","0,0","6.868","Nein","00:06:40,6","6","00:42:12","00:42:40","500","507"
Laufbandtraining,2021-12-28 17:32:31,false,"Laufbandtraining","4,01","242","00:33:20","146","161","144","155","8:18","7:27","--","--","0,83","0,0","4.816","Nein","00:00:09,3","5","00:32:41","00:43:07","--","--"
Laufbandtraining,2021-12-26 17:24:49,false,"Laufbandtraining","5,27","274","00:43:04","138","155","146","156","8:11","6:43","--","--","0,84","0,0","6.312","Nein","00:02:19,7","6","00:42:39","00:43:04","--","--"
Laufbandtraining,2021-12-23 12:05:16,false,"Laufbandtraining","7,38","346","01:00:49","135","154","146","158","8:14","7:04","--","--","0,83","0,0","8.890","Nein","00:03:11,3","8","00:59:33","01:00:49","--","--"
Laufbandtraining,2021-12-21 12:23:07,false,"Laufbandtraining","5,04","247","00:40:51","135","148","148","158","8:06","6:40","--","--","0,83","0,0","6.064","Nein","00:00:53,1","6","00:40:15","00:40:51","--","--"
Laufbandtraining,2021-12-19 12:33:43,false,"Laufbandtraining","6,88","372","01:00:18","139","163","137","163","8:46","5:57","--","--","0,83","0,0","8.596","Nein","00:07:03,1","7","00:53:51","01:00:18","--","--"
Laufbandtraining,2021-12-16 17:58:13,false,"Laufbandtraining","5,31","276","00:41:06","141","176","154","165","7:44","5:45","--","--","0,84","0,0","6.324","Nein","00:02:21,6","6","00:40:56","00:41:06","--","--"
Laufbandtraining,2021-12-12 18:03:50,false,"Laufbandtraining","5,38","293","00:42:42","144","158","150","159","7:56","5:56","--","--","0,84","0,0","6.424","Nein","00:03:40,6","6","00:41:54","00:42:42","--","--"
Laufbandtraining,2021-12-07 17:59:43,false,"Laufbandtraining","5,42","334","00:40:45","158","177","152","163","7:31","5:39","--","--","0,87","0,0","6.228","Nein","00:03:49,2","6","00:40:07","00:40:45","--","--"
Laufbandtraining,2021-12-05 18:03:48,false,"Laufbandtraining","2,85","141","00:22:59","133","145","148","156","8:03","6:26","--","--","0,84","0,0","3.400","Nein","00:06:51,5","3","00:22:32","00:22:59","--","--"
Laufbandtraining,2021-12-01 13:03:25,false,"Laufbandtraining","2,92","169","00:21:46","149","169","154","160","7:27","5:54","--","--","0,87","0,0","3.368","Nein","00:06:40,4","3","00:21:30","00:21:46","--","--"
Laufbandtraining,2021-11-28 18:11:38,false,"Laufbandtraining","3,87","252","00:30:29","156","169","150","162","7:53","6:05","--","--","0,85","0,0","4.582","Nein","00:06:52,1","4","00:29:29","00:30:44","--","--"
Laufbandtraining,2021-11-27 12:31:15,false,"Laufbandtraining","3,88","236","00:30:27","150","164","151","163","7:50","7:09","--","--","0,84","0,0","4.588","Nein","00:06:56,4","4","00:30:21","00:30:27","--","--"
Laufbandtraining,2021-11-25 13:18:59,false,"Laufbandtraining","5,54","358","00:45:05","154","165","146","159","8:08","5:50","--","--","0,84","0,0","6.664","Nein","00:05:44,0","6","00:43:07","00:45:05","--","--"
Laufen,2021-11-16 16:28:10,false,"Pliening Laufen","2,91","160","00:17:59","169","202","170","224","6:11","2:34","2","--","0,95","0,0","3.028","Nein","00:05:36,1","3","00:17:52","00:17:59","502","508"
Laufen,2021-11-14 12:39:06,false,"Pliening Laufen","3,87","219","00:31:09","157","171","161","177","8:04","6:40","4","4","0,77","0,0","5.044","Nein","00:06:54,5","4","00:30:50","00:31:26","499","505"
Laufen,2021-11-13 12:27:27,false,"Pliening Laufen","5,45","308","00:41:08","155","170","162","172","7:33","6:35","2","2","0,82","0,0","6.686","Nein","00:03:36,2","6","00:40:58","00:41:08","501","505"
Laufbandtraining,2021-11-08 17:50:40,false,"Locker laufen","5,21","308","00:40:00","152","167","151","158","7:41","6:31","--","--","0,86","0,0","6.008","Nein","00:02:24,6","7","00:39:34","00:42:04","--","--"
Laufbandtraining,2021-11-06 17:58:25,false,"Locker laufen","6,45","360","00:50:31","148","168","148","163","7:50","6:40","--","--","0,86","0,0","7.512","Nein","00:00:30,8","9","00:48:43","00:50:31","--","--"
Laufen,2021-11-04 08:29:57,false,"Pliening - Locker laufen","5,41","306","00:40:25","163","198","161","221","7:28","2:33","2","7","0,83","0,0","6.518","Nein","00:00:25,1","8","00:39:59","00:41:49","493","504"
Laufen,2021-10-31 16:34:47,false,"Pliening - Locker laufen","5,29","293","00:32:52","176","194","168","186","6:13","5:05","2","4","0,95","0,0","5.538","Nein","00:00:11,7","8","00:32:42","00:32:55","499","505"
Laufen,2021-10-25 16:31:16,false,"Pliening Laufen","17,08","1.017","01:51:14","181","192","165","174","6:31","5:49","154","145","0,93","0,0","18.348","Nein","00:00:32,8","18","01:50:56","01:51:14","489","511"
Laufen,2021-10-16 15:20:19,false,"Pliening - Gleichmäßiger Lauf","4,80","288","00:31:55","179","205","163","210","6:39","5:01","4","4","0,92","0,0","5.220","Nein","00:00:03,5","8","00:31:17","00:32:41","498","504"
Laufbandtraining,2021-10-14 19:13:12,false,"Locker laufen","4,05","227","00:30:04","152","170","150","160","7:26","6:55","--","--","0,90","0,0","4.498","Nein","00:00:03,6","6","00:29:57","00:30:04","--","--"
Laufen,2021-10-13 16:46:52,false,"Pliening - Locker laufen","6,18","379","00:38:27","185","203","171","218","6:13","5:33","--","2","0,94","0,0","6.562","Nein","00:02:16,5","8","00:38:01","00:38:27","499","505"
Laufen,2021-10-10 17:34:03,false,"Pliening - Locker laufen","6,37","372","00:45:22","163","179","163","184","7:07","5:31","6","6","0,86","0,0","7.396","Nein","00:01:53,4","9","00:45:03","00:45:28","496","504"
Laufen,2021-10-09 18:00:16,false,"Pliening - Einstufungslauf","5,40","315","00:38:01","168","200","162","226","7:02","2:37","4","4","0,88","0,0","6.156","Nein","00:00:38,4","8","00:37:47","00:38:04","495","505"
Laufen,2021-10-07 17:47:19,false,"Pliening Laufen","5,75","334","00:42:15","166","195","162","231","7:21","1:41","2","2","0,84","0,0","6.834","Nein","00:05:47,7","6","00:41:47","00:42:15","500","505"
Laufen,2021-09-26 13:45:02,false,"Erding Laufen","5,42","321","00:28:14","207","220","178","186","5:13","4:30","5","5","1,08","0,0","5.018","Nein","00:02:15,8","6","00:28:08","00:28:14","473","479"
Laufen,2021-09-24 18:05:21,false,"Pliening Laufen","3,08","158","00:23:53","144","174","155","219","7:46","0:55","8","2","0,83","0,0","3.780","Nein","00:00:27,3","8","00:23:31","00:29:21","501","505"
Laufen,2021-09-21 18:32:32,false,"Pliening Laufen","7,81","422","01:02:26","147","161","160","224","8:00","6:07","4","13","0,78","0,0","10.040","Nein","00:06:23,1","8","01:01:40","01:03:05","490","504"
Laufen,2021-09-18 17:48:52,false,"Pliening - Intervall","7,48","412","00:49:38","172","200","165","194","6:38","4:44","6","4","0,90","0,0","8.220","Nein","00:01:38,7","14","00:49:20","00:49:38","498","505"
Laufen,2021-09-17 18:03:31,false,"Pliening Laufen","6,29","351","00:48:02","154","171","158","167","7:38","6:37","4","2","0,83","0,0","7.632","Nein","00:02:22,9","7","00:47:50","00:48:23","499","506"
Laufen,2021-09-16 17:17:44,false,"Pliening Laufen","8,03","448","01:03:46","156","172","153","166","7:56","6:37","4","6","0,82","0,0","9.824","Nein","00:00:15,4","9","01:03:02","01:04:20","497","504"
Laufen,2021-09-14 18:07:20,false,"Pliening Laufen","4,14","238","00:32:33","163","179","154","163","7:52","6:26","4","2","0,83","0,0","5.006","Nein","00:01:01,8","5","00:32:22","00:39:49","502","509"
Laufen,2021-09-12 12:15:55,false,"Pliening - Intervall","7,23","460","00:50:19","188","218","159","226","6:57","4:16","6","6","0,89","0,0","7.978","Nein","00:00:05,8","26","00:50:16","00:50:19","496","505"
Laufen,2021-09-08 18:58:59,false,"Pliening Laufen","4,04","223","00:32:55","155","172","154","171","8:09","5:52","4","6","0,80","0,0","5.076","Nein","00:00:16,8","5","00:32:29","00:32:55","496","503"
Laufen,2021-09-06 12:25:50,false,"Pliening Laufen","6,79","427","00:46:24","185","199","161","169","6:50","6:11","6","9","0,91","0,0","7.494","Nein","00:05:34,7","7","00:46:21","00:46:24","508","517"
Laufen,2021-09-03 13:51:29,false,"Pliening Laufen","5,47","359","00:38:04","188","206","161","173","6:58","6:19","6","6","0,89","0,0","6.152","Nein","00:03:17,5","6","00:37:51","00:38:20","496","504"
Laufen,2021-08-25 17:41:34,false,"Cabris Laufen","1,89","117","00:14:50","158","195","156","173","7:50","6:23","35","37","0,82","0,0","2.384","Nein","00:06:40,5","2","00:14:30","00:16:21","479","507"
Laufen,2021-08-16 16:07:39,false,"Pliening Laufen","8,04","465","00:55:23","166","177","163","172","6:54","6:05","26","33","0,89","0,0","9.050","Nein","00:00:16,4","9","00:55:02","00:55:23","489","502"
Laufen,2021-08-10 12:04:15,false,"Pliening - Intervall-Training 45","7,15","455","00:49:30","187","214","160","218","6:55","4:40","11","11","0,89","0,0","7.988","Nein","00:02:00","16","00:49:30","00:49:30","502","512"
Laufen,2021-08-08 17:39:36,false,"Pliening Laufen","6,14","328","00:54:12","153","166","155","170","8:50","6:57","6","11","0,73","0,0","8.384","Nein","00:01:13,0","7","00:54:10","00:54:12","497","510"
Laufen,2021-08-06 15:28:19,false,"Pliening Laufen","2,89","165","00:21:47","165","203","156","213","7:31","3:03","2","2","0,85","0,0","3.456","Nein","00:06:33,8","3","00:21:37","00:21:47","499","505"
Laufen,2021-08-04 16:13:59,false,"Pliening Laufen","7,42","400","01:02:57","155","171","156","220","8:29","6:38","10","10","0,76","0,0","9.832","Nein","00:03:54,0","8","01:02:26","01:03:23","496","504"
Laufen,2021-08-02 16:57:25,false,"Pliening Laufen","5,50","325","00:40:29","170","188","159","174","7:22","5:55","9","6","0,85","0,0","6.440","Nein","00:03:45,2","6","00:40:18","00:40:29","503","512"
Laufen,2021-07-29 12:10:49,false,"Pliening Laufen","6,07","343","00:47:03","160","175","159","172","7:45","6:38","2","2","0,81","0,0","7.496","Nein","00:00:31,3","7","00:46:45","00:47:35","498","504"
Laufen,2021-07-25 16:28:28,false,"Pliening Laufen","7,23","425","00:54:18","166","180","161","172","7:30","6:23","2","4","0,83","0,0","8.734","Nein","00:02:21,1","8","00:53:35","00:54:18","498","505"
Laufen,2021-07-22 14:10:08,false,"Pliening Laufen","10,37","691","01:12:26","187","209","160","190","6:59","4:50","15","13","0,89","0,0","11.658","Nein","00:02:36,2","11","01:12:03","01:12:26","494","506"
Laufen,2021-07-18 17:11:30,false,"Pliening Laufen","5,32","328","00:37:10","173","191","160","174","6:59","6:00","4","2","0,90","0,0","5.980","Nein","00:02:41,7","6","00:36:25","00:41:28","499","505"
Laufen,2021-07-16 17:17:18,false,"Pliening Laufen","5,32","357","00:34:15","192","208","165","172","6:26","5:54","6","6","0,94","0,0","5.644","Nein","00:02:14,0","6","00:34:15","00:34:15","493","500"
Laufen,2021-07-14 17:03:54,false,"Pliening Laufen","4,21","271","00:27:26","185","198","164","176","6:31","5:47","5","4","0,94","0,0","4.584","Nein","00:01:52,3","5","00:27:12","00:27:26","489","495"
Laufen,2021-07-12 17:22:36,false,"Pliening Laufen","4,19","282","00:30:07","178","201","156","174","7:11","5:47","6","6","0,89","0,0","4.758","Nein","00:01:38,1","5","00:29:32","00:30:07","487","494"
Laufen,2021-06-29 15:52:49,false,"Pliening Laufen","3,63","222","00:26:13","171","205","152","230","7:14","1:40","6","2","0,91","0,0","4.012","Nein","00:05:09,4","4","00:26:00","00:27:37","492","500"
Laufen,2021-06-27 17:03:10,false,"Pliening Laufen","6,51","418","00:46:29","179","195","157","163","7:08","6:12","4","4","0,89","0,0","7.306","Nein","00:03:36,0","7","00:46:07","00:46:29","496","503"
Laufen,2021-06-26 18:44:10,false,"Pliening Laufen","4,43","267","00:27:23","191","210","164","177","6:11","5:06","6","4","0,99","0,0","4.510","Nein","00:02:39,4","5","00:27:07","00:32:54","488","495"
Laufen,2021-06-23 16:43:21,false,"Pliening Laufen","3,94","218","00:29:57","170","190","158","221","7:37","2:27","4","2","0,83","0,0","4.766","Nein","00:07:10,8","4","00:29:45","00:31:16","488","494"
Laufen,2021-06-22 17:41:23,false,"Pliening Laufen","4,59","256","00:39:52","158","169","153","171","8:41","7:27","2","4","0,75","0,0","6.104","Nein","00:05:29,2","5","00:39:31","00:39:52","488","494"
Laufen,2021-06-20 17:43:35,false,"Pliening - Key Endurance Run 45-60 @ Z2","5,77","331","00:43:41","170","194","153","191","7:34","3:51","4","2","0,87","0,0","6.792","Nein","00:01:19,2","8","00:42:44","00:49:51","488","495"
Laufbandtraining,2021-06-19 11:43:25,false,"Laufbandtraining","3,66","192","00:26:34","149","164","155","162","7:16","6:54","--","--","0,89","0,0","4.116","Nein","00:04:47,7","4","00:26:19","00:26:34","--","--"
Laufen,2021-06-18 18:48:11,false,"Pliening - Supporting Run 30 @ Z2","1,38","92","00:11:33","168","185","132","172","8:21","5:58","--","--","0,91","0,0","1.666","Nein","00:01:33,3","3","00:10:24","00:11:37","491","495"
Laufen,2021-06-15 17:31:07,false,"Pliening Laufen","3,96","232","00:31:31","167","189","157","175","7:58","7:04","4","6","0,80","0,0","4.974","Nein","00:07:36,1","4","00:31:15","00:31:41","496","504"
Laufen,2021-06-13 17:19:07,false,"Pliening - Key Endurance Run 45-60 @ Z2","6,01","351","00:51:05","160","172","154","165","8:30","7:19","6","6","0,77","0,0","7.932","Nein","00:01:34,0","8","00:50:51","00:51:23","487","495"
Laufen,2021-06-06 17:47:47,false,"Pliening - Key Endurance Run 45-60 @ Z2","6,94","415","00:53:50","171","189","159","173","7:46","6:55","6","6","0,81","0,0","8.578","Nein","00:01:04,9","10","00:53:42","00:53:50","486","496"
Laufen,2021-06-04 08:37:10,false,"Manerba del Garda - Supporting Run 30 @ Z2","4,82","300","00:40:14","163","196","159","182","8:21","7:19","101","105","0,75","0,0","6.436","Nein","00:01:15,4","7","00:40:03","00:42:11","58","116"
Laufen,2021-06-01 15:35:53,false,"Pliening Laufen","7,21","492","00:53:20","184","199","156","167","7:24","6:17","15","13","0,87","0,0","8.382","Nein","00:00:21,5","9","00:52:47","00:53:20","492","500"
Laufbandtraining,2021-05-27 17:50:49,false,"Supporting Run 30 @ Z2","2,51","152","00:28:15","129","147","123","163","11:14","6:47","--","--","0,66","0,0","3.812","Nein","00:01:49,8","6","00:19:42","00:28:15","--","--"
Laufen,2021-05-23 12:36:06,false,"Pliening Laufen","3,78","250","00:25:08","182","207","163","176","6:39","5:46","4","4","0,92","0,0","4.122","Nein","00:05:33,2","4","00:25:04","00:25:08","489","495"
Laufen,2021-05-09 16:10:41,false,"Pliening - Locker laufen","7,13","470","00:51:40","179","197","157","170","7:15","6:01","11","6","0,88","0,0","8.214","Nein","00:01:39,6","9","00:50:26","00:52:21","487","498"
Laufen,2021-05-08 11:40:22,false,"Pliening - Locker laufen","4,55","302","00:30:00","184","202","162","178","6:36","5:44","4","4","0,94","0,0","4.966","Nein","00:03:41,8","6","00:29:24","00:30:06","489","495"
Laufen,2021-05-06 16:54:23,false,"Pliening - Locker laufen","4,38","276","00:30:00","174","188","159","174","6:51","6:00","2","2","0,92","0,0","4.814","Nein","00:03:27,1","6","00:29:23","00:30:00","492","497"
